# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI),,,,
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# STN         LON(east)   LAT(north)  ALT(m)      NAME,,,,
# 310         3.596       51.442      8.00        Vlissingen  ,,,,
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius),,,,
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2),,,,
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm),,,,
# STN,YYYYMMDD,   TG,    Q,   RH
310,20150101,39,292,1
310,20150102,78,336,2
310,20150103,45,73,100
310,20150104,49,427,0
310,20150105,26,115,0
310,20150106,21,133,4
310,20150107,46,375,14
310,20150108,67,42,166
310,20150109,93,95,15
310,20150110,94,155,12
310,20150111,69,361,-1
310,20150112,83,95,47
310,20150113,78,113,157
310,20150114,52,300,8
310,20150115,78,87,56
310,20150116,56,422,13
310,20150117,41,496,-1
310,20150118,30,97,74
310,20150119,29,474,5
310,20150120,28,456,0
310,20150121,14,301,0
310,20150122,-4,138,0
310,20150123,5,548,0
310,20150124,42,504,79
310,20150125,55,252,-1
310,20150126,68,169,3
310,20150127,58,471,0
310,20150128,59,82,39
310,20150129,43,415,50
310,20150130,38,518,2
310,20150131,35,647,16
310,20150201,44,275,89
310,20150202,32,516,11
310,20150203,32,457,4
310,20150204,23,559,3
310,20150205,8,536,0
310,20150206,4,765,0
310,20150207,30,515,2
310,20150208,57,502,1
310,20150209,50,292,-1
310,20150210,56,196,1
310,20150211,44,170,0
310,20150212,41,224,0
310,20150213,59,755,-1
310,20150214,70,426,14
310,20150215,54,812,-1
310,20150216,26,372,0
310,20150217,51,619,-1
310,20150218,36,961,0
310,20150219,39,942,9
310,20150220,56,120,150
310,20150221,45,606,14
310,20150222,47,927,26
310,20150223,58,847,11
310,20150224,57,870,7
310,20150225,50,400,5
310,20150226,64,297,87
310,20150227,51,985,0
310,20150228,56,864,15
310,20150301,79,1100,41
310,20150302,61,1036,0
310,20150303,56,571,18
310,20150304,61,1126,0
310,20150305,59,1145,0
310,20150306,66,723,0
310,20150307,77,902,0
310,20150308,76,1346,0
310,20150309,74,740,-1
310,20150310,73,1209,-1
310,20150311,57,1206,0
310,20150312,73,1480,0
310,20150313,64,1444,0
310,20150314,45,803,-1
310,20150315,59,321,1
310,20150316,69,1316,0
310,20150317,80,1427,0
310,20150318,62,474,0
310,20150319,64,291,0
310,20150320,50,397,0
310,20150321,65,687,6
310,20150322,53,1122,0
310,20150323,51,1184,0
310,20150324,55,590,8
310,20150325,57,668,66
310,20150326,57,389,32
310,20150327,70,1727,0
310,20150328,85,403,7
310,20150329,94,244,105
310,20150330,80,1564,38
310,20150331,92,1758,14
310,20150401,76,1824,7
310,20150402,65,1589,27
310,20150403,65,582,1
310,20150404,60,1087,11
310,20150405,62,2067,-1
310,20150406,70,445,0
310,20150407,81,1870,0
310,20150408,83,1999,0
310,20150409,94,1942,0
310,20150410,122,1940,0
310,20150411,98,844,30
310,20150412,102,2047,0
310,20150413,88,1999,-1
310,20150414,120,2195,0
310,20150415,146,2209,0
310,20150416,112,1987,0
310,20150417,90,1633,0
310,20150418,91,2313,0
310,20150419,82,1691,0
310,20150420,111,2310,0
