# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI),,,,
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# STN         LON(east)   LAT(north)  ALT(m)      NAME,,,,
# 275         5.873       52.056      48.20       Deelen      ,,,,
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius),,,,
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2),,,,
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm),,,,
# STN,YYYYMMDD,   TG,    Q,   RH
275,19950101,6,120,69
275,19950102,18,219,33
275,19950103,-5,185,-1
275,19950104,-38,469,0
275,19950105,-51,531,0
275,19950106,-36,162,6
275,19950107,-37,420,0
275,19950108,-9,84,38
275,19950109,34,160,60
275,19950110,39,175,76
275,19950111,17,337,14
275,19950112,20,398,54
275,19950113,12,228,4
275,19950114,50,67,16
275,19950115,68,55,11
275,19950116,41,446,0
275,19950117,40,401,0
275,19950118,55,103,42
275,19950119,46,328,22
275,19950120,75,259,8
275,19950121,56,324,52
275,19950122,68,107,194
275,19950123,56,237,60
275,19950124,54,191,17
275,19950125,44,96,56
275,19950126,70,44,164
275,19950127,17,400,93
275,19950128,77,202,80
275,19950129,73,112,119
275,19950130,21,502,-1
275,19950131,23,130,16
275,19950201,93,81,68
275,19950202,36,538,0
275,19950203,46,386,1
275,19950204,71,153,-1
275,19950205,57,176,-1
275,19950206,86,83,7
275,19950207,79,95,-1
275,19950208,35,105,75
275,19950209,1,501,0
275,19950210,13,187,43
275,19950211,79,192,58
275,19950212,82,611,1
275,19950213,81,241,-1
275,19950214,75,396,31
275,19950215,88,422,115
275,19950216,76,490,33
275,19950217,63,603,4
275,19950218,45,500,1
275,19950219,73,226,159
275,19950220,82,568,33
275,19950221,62,154,44
275,19950222,41,929,0
275,19950223,43,610,28
275,19950224,40,239,22
275,19950225,30,316,12
275,19950226,20,660,15
275,19950227,31,664,34
275,19950228,92,195,-1
275,19950301,81,336,-1
275,19950302,34,593,16
275,19950303,32,734,31
275,19950304,10,754,11
275,19950305,12,123,103
275,19950306,32,679,66
275,19950307,34,1072,-1
275,19950308,39,598,55
275,19950309,38,1119,8
275,19950310,55,1312,0
275,19950311,78,1263,0
275,19950312,87,1124,0
275,19950313,66,1388,0
275,19950314,22,1169,-1
275,19950315,34,723,75
275,19950316,40,1073,11
275,19950317,71,284,121
275,19950318,69,945,3
275,19950319,48,1234,17
275,19950320,40,1221,6
275,19950321,33,1148,9
275,19950322,22,1484,0
275,19950323,69,1604,0
275,19950324,81,878,0
275,19950325,67,1245,60
275,19950326,74,325,62
275,19950327,32,1296,81
275,19950328,-2,453,88
275,19950329,18,1445,10
275,19950330,33,1354,-1
275,19950331,65,164,85
275,19950401,103,285,1
275,19950402,113,1748,0
275,19950403,85,394,0
275,19950404,72,1236,-1
275,19950405,74,1461,0
275,19950406,97,454,-1
275,19950407,91,648,-1
275,19950408,49,1357,5
275,19950409,47,683,8
275,19950410,70,306,52
275,19950411,84,1120,0
275,19950412,88,992,-1
275,19950413,84,1299,0
275,19950414,76,557,0
275,19950415,61,432,4
275,19950416,59,996,17
275,19950417,72,346,69
275,19950418,61,924,85
275,19950419,31,1427,4
275,19950420,38,1741,2
275,19950421,71,1665,14
275,19950422,115,1230,-1
275,19950423,104,1535,-1
275,19950424,166,2092,0
275,19950425,165,2087,-1
275,19950426,141,2002,-1
275,19950427,76,635,-1
275,19950428,65,1131,0
275,19950429,92,1873,0
275,19950430,96,623,18
275,19950501,120,2095,0
275,19950502,158,2262,0
275,19950503,160,2378,0
275,19950504,176,2294,0
275,19950505,186,2164,0
275,19950506,164,2273,0
275,19950507,176,2340,0
275,19950508,125,1150,12
275,19950509,91,1199,82
275,19950510,85,1199,2
275,19950511,78,1296,-1
275,19950512,79,1539,0
275,19950513,82,1509,-1
275,19950514,67,1619,1
275,19950515,79,1336,4
275,19950516,106,1855,-1
275,19950517,100,679,118
275,19950518,75,828,34
275,19950519,71,1611,57
275,19950520,95,1815,1
