Name;Station;Time(norwegian mean time);Air temperature;Precipitation (1 h)
Særheim;SN44300;08.01.2001 08:00;4.4;0.1
Særheim;SN44300;08.01.2001 09:00;4.6;0
Særheim;SN44300;08.01.2001 10:00;4.2;0
Særheim;SN44300;08.01.2001 11:00;4.2;0
Særheim;SN44300;08.01.2001 12:00;4.5;0.1
Særheim;SN44300;08.01.2001 13:00;4.3;-0.1
Særheim;SN44300;08.01.2001 14:00;4.5;0.2
Særheim;SN44300;08.01.2001 15:00;4.8;-0.1
Særheim;SN44300;08.01.2001 16:00;4.4;0.1
Særheim;SN44300;08.01.2001 17:00;4.3;0
Særheim;SN44300;08.01.2001 18:00;3.8;-0.1
Særheim;SN44300;08.01.2001 19:00;3.9;0.3
Særheim;SN44300;08.01.2001 20:00;3.8;0.1
Særheim;SN44300;08.01.2001 21:00;3.8;-0.1
Særheim;SN44300;08.01.2001 22:00;3.7;0
Særheim;SN44300;08.01.2001 23:00;3.4;0.1
Særheim;SN44300;09.01.2001 00:00;3.9;-0.1
Særheim;SN44300;09.01.2001 01:00;3;0.7
Særheim;SN44300;09.01.2001 02:00;3.1;0.2
Særheim;SN44300;09.01.2001 03:00;2.9;0.2
Særheim;SN44300;09.01.2001 04:00;2.5;-0.1
Særheim;SN44300;09.01.2001 05:00;2.9;0
Særheim;SN44300;09.01.2001 06:00;2.6;0
Særheim;SN44300;09.01.2001 07:00;1.9;0.1
Særheim;SN44300;09.01.2001 08:00;1.7;0
Særheim;SN44300;09.01.2001 09:00;1.7;0
Særheim;SN44300;09.01.2001 10:00;1.4;0.1
Særheim;SN44300;09.01.2001 11:00;2.1;0
Særheim;SN44300;09.01.2001 12:00;2;0.1
Særheim;SN44300;09.01.2001 13:00;2.3;-0.2
Særheim;SN44300;09.01.2001 14:00;2.2;0
Særheim;SN44300;09.01.2001 15:00;2;0.1
Særheim;SN44300;09.01.2001 16:00;1.7;0
Særheim;SN44300;09.01.2001 17:00;1.8;-0.1
Særheim;SN44300;09.01.2001 18:00;1.8;0.1
Særheim;SN44300;09.01.2001 19:00;1.8;0
Særheim;SN44300;09.01.2001 20:00;1.6;0
Særheim;SN44300;09.01.2001 21:00;0.9;-0.2
Særheim;SN44300;09.01.2001 22:00;1;0
Særheim;SN44300;09.01.2001 23:00;0.7;0
Særheim;SN44300;10.01.2001 00:00;0.3;-0.1
Særheim;SN44300;10.01.2001 01:00;-0.1;0
Særheim;SN44300;10.01.2001 02:00;-0.3;0.2
Særheim;SN44300;10.01.2001 03:00;-0.6;0
Særheim;SN44300;10.01.2001 04:00;-1.1;-0.1
Særheim;SN44300;10.01.2001 05:00;-1.6;0.2
Særheim;SN44300;10.01.2001 06:00;-2;-0.1
Særheim;SN44300;10.01.2001 07:00;-2.3;0.1
Særheim;SN44300;10.01.2001 08:00;-2.8;0
Særheim;SN44300;10.01.2001 09:00;-2.6;0.1
Særheim;SN44300;10.01.2001 10:00;-2.5;0
Særheim;SN44300;10.01.2001 11:00;-2.3;0
Særheim;SN44300;10.01.2001 12:00;-1.9;0
Særheim;SN44300;10.01.2001 13:00;-0.6;0
Særheim;SN44300;10.01.2001 14:00;-0.1;0
Særheim;SN44300;10.01.2001 15:00;-0.1;0
Særheim;SN44300;10.01.2001 16:00;-0.8;0.1
Særheim;SN44300;10.01.2001 17:00;-1.4;-0.1
Særheim;SN44300;10.01.2001 18:00;-1.6;0
Særheim;SN44300;10.01.2001 19:00;-1.9;0.1
Særheim;SN44300;10.01.2001 20:00;-1.6;0
Særheim;SN44300;10.01.2001 21:00;-1.4;0
Særheim;SN44300;10.01.2001 22:00;-1.1;0.1
Særheim;SN44300;10.01.2001 23:00;-1.7;-0.1
Særheim;SN44300;11.01.2001 00:00;-1.1;0.1
Særheim;SN44300;11.01.2001 01:00;-0.8;0
Særheim;SN44300;11.01.2001 02:00;-1.2;-0.1
Særheim;SN44300;11.01.2001 03:00;-1;0
Særheim;SN44300;11.01.2001 04:00;-0.7;0.2
