YYYYMMDD	   TG	    Q	   RH
20160101	41	176	0
20160102	54	86	33
20160103	69	176	88
20160104	57	71	112
20160105	68	90	3
20160106	26	119	5
20160107	61	50	108
20160108	54	369	0
20160109	56	165	3
20160110	69	272	43
20160111	48	73	19
20160112	58	226	104
20160113	50	162	28
20160114	35	121	134
20160115	24	162	-1
20160116	27	289	16
20160117	-10	471	-1
20160118	-33	553	0
20160119	-25	289	-1
20160120	12	225	-1
20160121	-12	103	0
20160122	9	350	41
20160123	66	377	0
20160124	77	59	22
20160125	107	457	0
20160126	92	349	21
20160127	109	74	131
20160128	67	561	2
20160129	85	81	19
20160130	74	76	187
20160131	68	222	45
20160201	115	201	5
20160202	89	257	2
20160203	50	403	43
20160204	51	160	34
20160205	87	214	8
20160206	94	193	1
20160207	85	419	37
20160208	85	445	110
20160209	53	108	88
20160210	48	413	57
20160211	38	573	2
20160212	27	507	-1
20160213	18	555	5
20160214	14	151	146
20160215	23	654	1
20160216	-3	957	0
20160217	-13	871	0
20160218	13	293	13
20160219	39	659	5
20160220	82	209	90
20160221	104	139	83
20160222	68	245	35
20160223	43	678	33
20160224	23	687	4
20160225	18	680	19
20160226	21	419	0
20160227	22	1091	0
20160228	22	1065	0
20160229	13	1165	0
20160301	20	273	61
20160302	53	652	68
20160303	39	1006	8
20160304	10	169	125
20160305	5	770	2
20160306	30	650	17
20160307	25	831	25
20160308	36	889	-1
20160309	44	858	0
20160310	41	1209	0
20160311	32	1300	0
20160312	31	1386	0
20160313	39	1459	0
20160314	41	1476	0
20160315	46	427	0
20160316	44	1399	0
20160317	57	1525	0
20160318	52	321	-1
20160319	62	583	0
20160320	68	731	7
20160321	72	438	12
20160322	76	579	1
20160323	76	800	3
20160324	79	459	1
20160325	65	468	44
20160326	95	1626	0
20160327	91	890	73
20160328	97	1161	9
20160329	78	700	83
20160330	81	1394	12
20160331	76	939	0
20160401	72	1836	0
20160402	101	960	-1
20160403	152	1302	97
20160404	124	1040	63
20160405	106	751	14
20160406	89	627	41
20160407	73	1145	41
20160408	67	779	22
20160409	92	1593	0
20160410	107	1993	17
20160411	132	2081	-1
20160412	116	1612	30
20160413	90	1628	0
20160414	106	1625	0
20160415	103	736	101
20160416	86	1362	7
20160417	62	1474	43
20160418	81	1475	-1
20160419	97	1720	0
20160420	86	2274	0
20160421	101	2331	0
20160422	87	1614	0
20160423	62	1693	30
20160424	46	1739	22
20160425	49	776	41
20160426	48	1150	119
20160427	60	1601	28
20160428	58	1726	10
20160429	74	1051	100
20160430	77	1663	0
20160501	79	2523	0
20160502	115	2203	1
20160503	97	2381	35
20160504	95	2059	0
20160505	128	2676	0
20160506	164	2601	0
20160507	195	2653	0
20160508	201	2663	0
20160509	202	2586	0
20160510	189	1247	-1
20160511	204	1986	-1
20160512	202	2432	0
20160513	154	2685	0
20160514	89	1734	-1
20160515	86	1883	1
20160516	93	1511	3
20160517	123	1647	0
20160518	136	1322	4
20160519	134	1156	2
20160520	137	870	5
20160521	179	1797	-1
20160522	155	672	153
20160523	120	579	184
20160524	114	1516	-1
20160525	118	619	1
20160526	137	2018	0
20160527	160	1855	0
20160528	176	1912	-1
20160529	172	922	4
20160530	162	499	66
20160531	182	1726	0
20160601	192	1726	15
20160602	153	622	-1
20160603	164	1160	-1
20160604	201	2095	5
20160605	200	2874	0
20160606	189	2955	0
20160607	201	2438	-1
20160608	161	2180	0
